date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:49:17	9397/9397	---M--	200	added ('OK')	image/jpeg	etag:%226474019879536bb3ecb4c84aec9508df%22	https://assets.nicepage.io/af1aea15/2843676/images/footer-bg.jpg	D:/Quota/simplecyber/assets.nicepage.io/af1aea15/2843676/images/footer-bg.jpg	(from https://demo-simplecybersite.nicepage.io/SimpleCyber.css)
08:49:18	153325/153325	---M--	200	added ('OK')	image/png	etag:%223a8637426da520040dd1d146a32dacf6%22	https://assets.nicepage.io/af1aea15/2843676/images/c-bg-1a.png	D:/Quota/simplecyber/assets.nicepage.io/af1aea15/2843676/images/c-bg-1a.png	(from https://demo-simplecybersite.nicepage.io/SimpleCyber.css)
08:49:18	26765/26765	---M--	200	added ('OK')	image/png	etag:%22d799f8c3ca37a0165bd02098a9256baa%22	https://assets.nicepage.io/af1aea15/2843676/images/c-1.png	D:/Quota/simplecyber/assets.nicepage.io/af1aea15/2843676/images/c-1.png	(from https://demo-simplecybersite.nicepage.io/SimpleCyber.css)
08:49:18	25368/25368	---M--	200	added ('OK')	image/png	etag:%22a4919e10112f84deae69388f199aa378%22	https://assets.nicepage.io/af1aea15/2843676/images/c-3.png	D:/Quota/simplecyber/assets.nicepage.io/af1aea15/2843676/images/c-3.png	(from https://demo-simplecybersite.nicepage.io/SimpleCyber.css)
08:49:19	25500/25500	---M--	200	added ('OK')	image/png	etag:%228f5ecf8cc577f2c99211cb2f59d3f95b%22	https://assets.nicepage.io/af1aea15/2843676/images/c-4.png	D:/Quota/simplecyber/assets.nicepage.io/af1aea15/2843676/images/c-4.png	(from https://demo-simplecybersite.nicepage.io/SimpleCyber.css)
08:49:19	24967/24967	---M--	200	added ('OK')	image/png	etag:%22d9e210d9958a47f49fb9f631ac3fa8f4%22	https://assets.nicepage.io/af1aea15/2843676/images/2.png	D:/Quota/simplecyber/assets.nicepage.io/af1aea15/2843676/images/2.png	(from https://demo-simplecybersite.nicepage.io/SimpleCyber.css)
08:49:20	187515/187515	---M--	200	added ('OK')	image/png	etag:%22b50405433aae9f96ae29c3567c391812%22	https://assets.nicepage.io/af1aea15/2843676/images/hero-img-1s.png	D:/Quota/simplecyber/assets.nicepage.io/af1aea15/2843676/images/hero-img-1s.png	(from https://demo-simplecybersite.nicepage.io/SimpleCyber.css)
08:49:20	62861/62861	---M--	200	added ('OK')	image/png	etag:%22d1b80bba4021f689b8cf2ae563113f0d%22	https://assets.nicepage.io/af1aea15/2843676/images/about-img-1a.png	D:/Quota/simplecyber/assets.nicepage.io/af1aea15/2843676/images/about-img-1a.png	(from https://demo-simplecybersite.nicepage.io/SimpleCyber.css)
08:49:21	12521/12521	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%220bf679de5a1b0c43b8afe91c0ad8f6be%22	https://demo-simplecybersite.nicepage.io/Content/BundledScripts/	D:/Quota/simplecyber/demo-simplecybersite.nicepage.io/Content/BundledScripts/index.html	(from http://capp.nicepage.com/fa51e2c202e89b020d804a4cb5f1097828422826/nicepage.js)
08:49:21	12521/12521	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%220bf679de5a1b0c43b8afe91c0ad8f6be%22	https://demo-simplecybersite.nicepage.io/ABCDEFGHIJKLMNOPQRSTUVWXYZabcdefghijklmnopqrstuvwxyz0123456789+/	D:/Quota/simplecyber/demo-simplecybersite.nicepage.io/ABCDEFGHIJKLMNOPQRSTUVWXYZabcdefghijklmnopqrstuvwxyz0123456789+/index.html	(from http://capp.nicepage.com/fa51e2c202e89b020d804a4cb5f1097828422826/nicepage.js)
